wavelength;lens;cameraSensor
536;0.6079349545642682;0.9348744190747571
537;0.6081392946618005;0.9357324430919018
538;0.6085260074539964;0.9364641719955868
539;0.6094734366326209;0.9374933070078411
540;0.6105239720267703;0.938303556042133
541;0.6108084630802666;0.9392192608622209
542;0.6116872011688967;0.9400751592425363
543;0.6120435008232408;0.9409656085172255
544;0.6131305871844462;0.9419226879829405
545;0.6134205435047564;0.9427843257889931
546;0.6148431380553436;0.9437303066563075
547;0.6152691472491063;0.9444295555396948
548;0.6161563298255732;0.9453114335952931
549;0.6166639979673789;0.9461187867691886
550;0.6174996302046896;0.9469694498940385
551;0.6183233973167895;0.9475396069847252
552;0.6191391393715739;0.9483411667151637
553;0.6199576545205113;0.9491841720543204
554;0.6207756650857804;0.9497546571378165
555;0.6215925404928122;0.9505562881665606
556;0.6224182678986716;0.9513954330608483
557;0.6232075081562827;0.9520010970247128
558;0.6240446357987819;0.9525732013402464
559;0.624310927376781;0.9529500713087773
560;0.62546298476692;0.9531569507698407
561;0.6257604551866944;0.9531358107208306
562;0.6266864497061593;0.9531358398732974
563;0.6268953430217434;0.9531358398330977
564;0.6280384857625854;0.953135839833153
565;0.6289073328120984;0.953135839833153
566;0.6293413414047904;0.953135839833153
567;0.6301191769658738;0.953135839833153
568;0.6306734343874235;0.953135839833153
569;0.6309874763956467;0.953135839833153
570;0.631933177431114;0.9531358398331441
571;0.6320046484340959;0.9531358398396027
572;0.6329302030247368;0.953135835195489
573;0.6332155152335049;0.9531391743199197
574;0.6343835062239853;0.9533378958483409
575;0.6346263355190703;0.9535332079209267
576;0.6347503699222687;0.9535886759992387
577;0.63569621476343;0.9537282518851917
578;0.6359353173894445;0.9539404476228407
579;0.6365872765754053;0.9541394349643202
580;0.6373352069549048;0.9537528080973493
581;0.6371470928422187;0.953345882805576
582;0.6381983277828178;0.9528886891766315
583;0.6386441689109668;0.9522845972203716
584;0.638764231155893;0.9516921104399
585;0.6400081536077077;0.9508755659745267
586;0.6403402543798796;0.9502711436893375
587;0.6405602310295113;0.9497086844818274
588;0.6412723148083147;0.949313285784588
589;0.6414390423560581;0.9489010464089184
590;0.6419068122779986;0.9487131295438633
591;0.6424559246543616;0.9484995909341855
592;0.6425707404634274;0.9482984787709829
593;0.642540213240512;0.9484960817130992
594;0.642907498015507;0.9487408594307989
595;0.6432733776706172;0.94895009941659
596;0.6432340007036936;0.949308719888017
597;0.6432046755926351;0.9495042518048991
598;0.6435235043253829;0.9495503836336249
599;0.6439604780308004;0.9497108200914828
600;0.6438663499870724;0.9494904612464193
601;0.6446079748735183;0.9495194557799641
602;0.6445350078006271;0.9493030414546956
603;0.6445867445464293;0.9489095200251805
604;0.6445032530140942;0.9485080457610081
605;0.6452058341338129;0.9478885050758981
606;0.6444692019367095;0.9474715281439458
607;0.6445789575112593;0.9466473354119072
608;0.6445564587553055;0.946246293535721
609;0.6445587024958559;0.9458281128654248
610;0.6445589418751807;0.9456906943583885
611;0.6445587930801642;0.9454804313247781
612;0.6445588279953467;0.9455155326701329
613;0.6445588234774878;0.9457079673239567
614;0.6445588199389121;0.9463385534540227
615;0.6445588488767882;0.946925423534371
616;0.6445587213431738;0.947304934533884
617;0.6445589544729025;0.9476856231718055
618;0.6445606578264866;0.9480898630541273
619;0.6445422071372839;0.9480996412245508
620;0.6446353860388611;0.9476835268927459
621;0.6439446072963093;0.9474462919451696
622;0.6438448737664011;0.9470732388959563
623;0.6432100194150165;0.9462795697716125
624;0.6428490141359471;0.9456421629494126
625;0.6425529424240226;0.9448224377441805
626;0.6425820168178822;0.9440489218150803
627;0.6423436891085019;0.9430181365149047
628;0.6422749440618789;0.9422098693177913
629;0.6420802096729765;0.9414109516261027
630;0.6419125742313052;0.940639140275847
631;0.6419393926947707;0.9398323823143272
632;0.6416036982274422;0.9392178235321104
633;0.6411907784822977;0.9383973712160818
634;0.6412704310447117;0.9376173125905436
635;0.6405361718086645;0.9370361750402615
636;0.6405897201833437;0.9361983052443302
637;0.6406609631562938;0.9357887029495456
638;0.639967388211018;0.9352145501494004
639;0.6398666542530667;0.9347997390988675
640;0.6392396361641824;0.9343833033098292
641;0.6388743227848632;0.9341831847864897
642;0.6385653539929322;0.9341980523147733
643;0.6385621136423687;0.9341980319540496
644;0.637917269218502;0.9341980319819274
645;0.6375920545412124;0.9341980319827232
646;0.6372357520631842;0.9341980313876321
647;0.6372722438541527;0.934198455942742
648;0.6363966438746448;0.9339991631198423
649;0.6359710656447799;0.9336004056256841
650;0.6354640151913306;0.9329773162551986
651;0.6352858805494915;0.9321777029409869
652;0.6351715300369187;0.9313193349986716
653;0.6346286416322899;0.9299044477561035
654;0.6341617049246486;0.928337387239725
655;0.6339897346772123;0.9269087868849578
656;0.6332528012445285;0.925316980538651
657;0.6333878833467208;0.923668830979062
658;0.6328612350099648;0.9222748107650509
659;0.6326781342061967;0.9204411009104948
660;0.6319631818857513;0.9190448956705572
661;0.6317940936395579;0.9176649434656785
662;0.6313337784518095;0.9166513762199784
663;0.6307630390409644;0.9152460532333108
664;0.6306490100023602;0.9140067615529617
665;0.6299665401960124;0.9128226141149217
666;0.6296858340573039;0.9114135129419717
